Timestamp,Gender,Happy,Sad,Angry,Disgusted,Fear,Surprised,Neutral
0,1,0.5699195340079009,0.37405786405951724,0.025072256430063014,0.005623777004641367,0.003954372885973398,0.01833538362448604,0.0030368119874180925
1,1,0.9008872790466556,0.0909375427762702,0.00015972376194152337,0.00278615261750921,0.0011158456676016888,0.0028792506517747994,0.00123420547824701
2,1,0.9939217249536894,0.004430003788189084,0.00037732009034735443,0.0004026500262985827,0.0001525390786223449,0.000324849552794777,0.00039091251005846865
4,0,0.44606255708666803,0.3926169209838226,0.014932736053615904,0.0007932761288095587,0.029659621632124888,0.039979776216687184,0.07595511189827182
5,0,0.9302745363564039,0.0075014218829901865,0.008357026293470743,0.00031901265839106105,0.008708030126617253,0.016419981375296988,0.02841999130682987
6,0,0.36486016277211175,0.5120754857909801,0.004253824491572616,0.00022312463767669574,0.00959107533857862,0.01192848112934062,0.09706784583973971
7,0,0.6179455032400746,0.17333732389716378,0.06133738438889147,0.002094958699499788,0.12318676823701982,0.007157016211032286,0.014941045326318287
8,0,0.39873973386184697,0.3614762646885222,0.009942504301573708,0.002555588181135522,0.010580739302482663,0.04208824471636122,0.1746169249480777
8,1,0.3513408022211682,0.05761987185003523,0.03294972660571961,0.0018802014619610692,0.20395100774056824,0.21264252390533975,0.1396158662152079
9,0,0.8587454496681562,0.07250153252488985,0.0019766207224642634,0.002532001933605625,0.0032924163133685714,0.004297732494315845,0.05665424634319961
10,0,0.7577618489043886,0.017965850949752504,0.002012210787607896,0.0001942216381151088,0.006350855666646992,0.004050444604565521,0.2116645674489234
11,0,0.9768110427417401,0.0029763350896738015,0.0012080316771468824,7.725396898377882e-05,0.0013204450432405136,0.0012818119217202024,0.01632507955749469
12,0,0.30878202654912734,0.4242182304680221,0.02533939157916042,0.006658255538194403,0.04590433003404125,0.003168278377650646,0.18592948745380383
13,0,0.25920123043521814,0.048837853435191446,0.0033952273753268844,2.4029743072689456e-05,0.027955696102568383,0.006548926462505287,0.6540370364461172
14,0,0.19938162393377926,0.5467031434735945,0.008859133620663465,2.760530219135217e-05,0.019055018059667517,0.004825416789291547,0.2211480588208124
15,1,0.819155881026124,0.11410909933460486,0.0010770300205623637,0.0036536869671195274,0.054158296826093105,0.006914890876741,0.0009311149487551525
16,0,0.9674423143311417,0.005343245893808487,0.012773708827315466,0.0005361698539129662,0.007929859569973836,0.0017608967098680945,0.004213804813979423
17,0,0.028561161572667824,0.09797062530075511,0.0035815122220757938,0.0006718118470335864,0.32534380594482487,0.047303090666390636,0.49656799244625216
18,1,0.9914750611219619,0.005052502042006982,0.00021683102148061507,0.0010566638777607567,0.0005639604972925287,0.001367842717635117,0.0002671387218621148
19,0,0.2785851317854951,0.4209985372275332,0.03374427879237713,0.014564562371901239,0.035126488132380125,0.2131279824208024,0.0038530192695108165
